time,seconds_elapsed,relativeAltitude,pressure
1776228663299580700,-0.49441943359375,0,958.1587982177734
1776228664329911600,0.53591162109375,-0.01849365234375,958.1610107421875
1776228665360252400,1.56625244140625,-0.0369873046875,958.1632232666016
1776228666390575400,2.596575439453125,-0.0819091796875,958.1681060791016
1776228667420950500,3.626950439453125,-0.251007080078125,958.1875610351562
1776228667616506600,3.822506591796875,-0.351409912109375,958.1991577148438
1776228668680048400,4.88604833984375,-0.385772705078125,958.2032775878906
1776228669743590700,5.949590576171875,-0.433319091796875,958.2085418701172
1776228670807074600,7.013074462890625,-0.48883056640625,958.2149505615234
1776228671870638300,8.076638427734375,-0.48883056640625,958.2149505615234
1776228672934163500,9.14016357421875,-0.459747314453125,958.2115173339844
